TFBS_ID	promoter	TF_name_10.7	TF_name_11.0.2	TU_ID_10.7	TU_name_10.7	TU_ID_11.0.2	TU_name_11.0.2	coords_10.7	coords_11.0.2	evidence_10.7	evidence_11.0.2	confidence_10.7	confidence_11.0.2
ECK120011263	ihfBp	IHF	IHF	ECK120009366	ihfB	ECK120009366	ihfB	963423_963435	963423_963435	[GEA|W|Gene expression analysis],[BPP|S|Binding of purified proteins]	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	strong	strong
ECK120011263	ihfBp2	NA	IHF	NA	NA	ECK125300289	ihfB	NA	963423_963435	NA	[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	NA	strong
ECK120011267	nacp	Nac	Nac	ECK120009806	nac	ECK120009806	nac	2062046_2062060	2062046_2062060	[GEA|W|Gene expression analysis],[BPP|S|Binding of purified proteins],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[BPP|S|Binding of purified proteins],[GEA|W|Gene expression analysis]	strong	strong
ECK120011272	nacp	NtrC	NtrC	ECK120009806	nac	ECK120009806	nac	2062122_2062138	2062122_2062138	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	weak	weak
ECK120011274	gdhAp1	Nac	NA	ECK120008942	gdhA	NA	NA	1842325_1842339	NA	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	NA	weak	NA
ECK120011274	gdhAp	NA	Nac	NA	NA	ECK120008942	gdhA	NA	1842325_1842339	NA	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	NA	weak
ECK120011276	gdhAp1	Nac	NA	ECK120008942	gdhA	NA	NA	1842276_1842290	NA	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	NA	weak	NA
ECK120011276	gdhAp	NA	Nac	NA	NA	ECK120008942	gdhA	NA	1842276_1842290	NA	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	NA	weak
ECK120011278	gdhAp1	Nac	NA	ECK120008942	gdhA	NA	NA	1842220_1842234	NA	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	NA	weak	NA
ECK120011278	gdhAp	NA	Nac	NA	NA	ECK120008942	gdhA	NA	1842220_1842234	NA	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	NA	weak
ECK120011280	gdhAp1	Nac	NA	ECK120008942	gdhA	NA	NA	1842345_1842359	NA	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	NA	weak	NA
ECK120011280	gdhAp	NA	Nac	NA	NA	ECK120008942	gdhA	NA	1842345_1842359	NA	[AIBSPD||Automated inference based on sequence pattern discovery],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CSE||ChIP-seq evidence],[GEA|W|Gene expression analysis],[RSE||RNA-seq evidence]	NA	weak
ECK120011282	asnCp	Nac	Nac	ECK120009305	asnC	ECK120009305	asnC	3927031_3927045	3927031_3927045	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	weak	weak
ECK120011282	asnCp	Nac	Nac	ECK120009305	asnC	ECK120029471	asnC-mioC	3927031_3927045	3927031_3927045	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	weak	weak
ECK120011282	asnCp	Nac	Nac	ECK120009305	asnC	ECK120029472	asnC-mioC-mnmG	3927031_3927045	3927031_3927045	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	weak	weak
ECK120011282	asnCp	Nac	Nac	ECK120029471	asnC-mioC	ECK120009305	asnC	3927031_3927045	3927031_3927045	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	weak	weak
ECK120011282	asnCp	Nac	Nac	ECK120029471	asnC-mioC	ECK120029471	asnC-mioC	3927031_3927045	3927031_3927045	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	weak	weak
ECK120011282	asnCp	Nac	Nac	ECK120029471	asnC-mioC	ECK120029472	asnC-mioC-mnmG	3927031_3927045	3927031_3927045	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	weak	weak
ECK120011282	asnCp	Nac	Nac	ECK120029472	asnC-mioC-mnmG	ECK120009305	asnC	3927031_3927045	3927031_3927045	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	weak	weak
ECK120011282	asnCp	Nac	Nac	ECK120029472	asnC-mioC-mnmG	ECK120029471	asnC-mioC	3927031_3927045	3927031_3927045	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	weak	weak
ECK120011282	asnCp	Nac	Nac	ECK120029472	asnC-mioC-mnmG	ECK120029472	asnC-mioC-mnmG	3927031_3927045	3927031_3927045	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	weak	weak
ECK120011284	asnCp	Nac	Nac	ECK120009305	asnC	ECK120009305	asnC	3927088_3927102	3927088_3927102	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	weak	weak
ECK120011284	asnCp	Nac	Nac	ECK120009305	asnC	ECK120029471	asnC-mioC	3927088_3927102	3927088_3927102	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	weak	weak
ECK120011284	asnCp	Nac	Nac	ECK120009305	asnC	ECK120029472	asnC-mioC-mnmG	3927088_3927102	3927088_3927102	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	weak	weak
ECK120011284	asnCp	Nac	Nac	ECK120029471	asnC-mioC	ECK120009305	asnC	3927088_3927102	3927088_3927102	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	weak	weak
ECK120011284	asnCp	Nac	Nac	ECK120029471	asnC-mioC	ECK120029471	asnC-mioC	3927088_3927102	3927088_3927102	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	weak	weak
ECK120011284	asnCp	Nac	Nac	ECK120029471	asnC-mioC	ECK120029472	asnC-mioC-mnmG	3927088_3927102	3927088_3927102	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	weak	weak
ECK120011284	asnCp	Nac	Nac	ECK120029472	asnC-mioC-mnmG	ECK120009305	asnC	3927088_3927102	3927088_3927102	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	weak	weak
ECK120011284	asnCp	Nac	Nac	ECK120029472	asnC-mioC-mnmG	ECK120029471	asnC-mioC	3927088_3927102	3927088_3927102	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	weak	weak
ECK120011284	asnCp	Nac	Nac	ECK120029472	asnC-mioC-mnmG	ECK120029472	asnC-mioC-mnmG	3927088_3927102	3927088_3927102	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[GEA|W|Gene expression analysis]	weak	weak
ECK120011286	asnCp	Nac	Nac	ECK120009305	asnC	ECK120009305	asnC	3927009_3927023	3927009_3927023	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[AIBSPD||Automated inference based on sequence pattern discovery],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CSE||ChIP-seq evidence],[GEA|W|Gene expression analysis],[RSE||RNA-seq evidence]	weak	weak
ECK120011286	asnCp	Nac	Nac	ECK120009305	asnC	ECK120029471	asnC-mioC	3927009_3927023	3927009_3927023	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[AIBSPD||Automated inference based on sequence pattern discovery],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CSE||ChIP-seq evidence],[GEA|W|Gene expression analysis],[RSE||RNA-seq evidence]	weak	weak
ECK120011286	asnCp	Nac	Nac	ECK120009305	asnC	ECK120029472	asnC-mioC-mnmG	3927009_3927023	3927009_3927023	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[AIBSPD||Automated inference based on sequence pattern discovery],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CSE||ChIP-seq evidence],[GEA|W|Gene expression analysis],[RSE||RNA-seq evidence]	weak	weak
ECK120011286	asnCp	Nac	Nac	ECK120029471	asnC-mioC	ECK120009305	asnC	3927009_3927023	3927009_3927023	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[AIBSPD||Automated inference based on sequence pattern discovery],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CSE||ChIP-seq evidence],[GEA|W|Gene expression analysis],[RSE||RNA-seq evidence]	weak	weak
ECK120011286	asnCp	Nac	Nac	ECK120029471	asnC-mioC	ECK120029471	asnC-mioC	3927009_3927023	3927009_3927023	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[AIBSPD||Automated inference based on sequence pattern discovery],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CSE||ChIP-seq evidence],[GEA|W|Gene expression analysis],[RSE||RNA-seq evidence]	weak	weak
ECK120011286	asnCp	Nac	Nac	ECK120029471	asnC-mioC	ECK120029472	asnC-mioC-mnmG	3927009_3927023	3927009_3927023	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[AIBSPD||Automated inference based on sequence pattern discovery],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CSE||ChIP-seq evidence],[GEA|W|Gene expression analysis],[RSE||RNA-seq evidence]	weak	weak
ECK120011286	asnCp	Nac	Nac	ECK120029472	asnC-mioC-mnmG	ECK120009305	asnC	3927009_3927023	3927009_3927023	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[AIBSPD||Automated inference based on sequence pattern discovery],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CSE||ChIP-seq evidence],[GEA|W|Gene expression analysis],[RSE||RNA-seq evidence]	weak	weak
ECK120011286	asnCp	Nac	Nac	ECK120029472	asnC-mioC-mnmG	ECK120029471	asnC-mioC	3927009_3927023	3927009_3927023	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[AIBSPD||Automated inference based on sequence pattern discovery],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CSE||ChIP-seq evidence],[GEA|W|Gene expression analysis],[RSE||RNA-seq evidence]	weak	weak
ECK120011286	asnCp	Nac	Nac	ECK120029472	asnC-mioC-mnmG	ECK120029472	asnC-mioC-mnmG	3927009_3927023	3927009_3927023	[GEA|W|Gene expression analysis],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[AIBSPD||Automated inference based on sequence pattern discovery],[APIORCISFBSCS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[CSE||ChIP-seq evidence],[GEA|W|Gene expression analysis],[RSE||RNA-seq evidence]	weak	weak
